Wife's age,Wife's education,Husband's eucation,Number of children,Wife's religion,Wife's now working?,Husband's occupation,Standard-of-living index,Media exposure,Contraceptive method used
24,2,3,3,1,1,2,3,0,1
45,1,3,10,1,1,3,4,0,1
43,2,3,7,1,1,3,4,0,1
42,3,2,9,1,1,3,3,0,1
36,3,3,8,1,1,3,2,0,1
19,4,4,0,1,1,3,3,0,1
38,2,3,6,1,1,3,2,0,1
21,3,3,1,1,0,3,2,0,1
27,2,3,3,1,1,3,4,0,1
45,1,1,8,1,1,2,2,1,1
38,1,3,2,1,0,3,3,1,1
42,1,4,4,1,1,1,3,0,1
44,4,4,1,1,0,1,4,0,1
42,2,4,1,1,0,3,3,0,1
38,3,4,2,1,1,2,3,0,1
26,2,4,0,1,1,4,1,0,1
48,1,1,7,1,1,2,4,0,1
39,2,2,6,1,1,2,4,0,1
17,3,3,1,1,1,2,4,0,3
